portfolio,property,address,utility_type,unit,period_number,period_start,period_end,consumption
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,1,2024-09-27,2024-10-26,1069.29
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,2,2024-10-27,2024-11-25,3272.58
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,3,2024-11-26,2024-12-25,4680.94
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,4,2024-12-26,2025-01-24,5066.13
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,5,2025-01-25,2025-02-23,3342.61
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,6,2025-02-24,2025-03-25,2220.55
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,7,2025-03-26,2025-04-24,427.17
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,8,2025-04-25,2025-05-24,3.92
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,9,2025-05-25,2025-06-23,2.98
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,10,2025-06-24,2025-07-23,1.44
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,11,2025-07-24,2025-08-22,0.26
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,12,2025-08-23,2025-09-21,436.1
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,13,2025-09-22,2025-10-21,2059.29
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,14,2025-10-22,2025-11-20,4260.95
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,15,2025-11-21,2025-12-20,5049.83
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,16,2025-12-21,2026-01-19,5721.32
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,17,2026-01-20,2026-02-18,4581.37
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,18,2026-02-19,2026-03-20,2478.76
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,19,2026-03-21,2026-04-19,894.05
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,20,2026-04-20,2026-05-19,107.56
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,21,2026-05-20,2026-06-18,1.97
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,22,2026-06-19,2026-07-18,0.8
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,23,2026-07-19,2026-08-17,0.0
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Natural Gas,thm,24,2026-08-18,2026-09-16,0.0
